date,拼音,ratio
2018/6/1,Hainan,0.002154824
2018/6/1,Henan,0.022100571
2018/6/1,Hubei,0.018317319
2018/6/1,Hunan,0.016017958
2018/6/1,Anhui,0.038646935
2018/6/1,Beijing,0.037798674
2018/6/1,Fujian,0.044338002
2018/6/1,Hebei,0.03800949
2018/6/1,InnerMongolia,0.018114467
2018/6/1,Jiangsu,0.106727315
2018/6/1,Jiangxi,0.025993498
2018/6/1,Shandong,0.077456695
2018/6/1,Shanghai,0.042306629
2018/6/1,Shanxi,0.018150732
2018/6/1,Tianjin,0.015774439
2018/6/1,Zhejiang,0.065619285
2018/6/1,Chongqing,0.044365714
2018/6/1,Gansu,0.01582476
2018/6/1,Guizhou,0.029381252
2018/6/1,Ningxia,0.006750065
2018/6/1,Qinghai,0.005375415
2018/6/1,Shaanxi,0.046070989
2018/6/1,Sichuan,0.081941801
2018/6/1,Tibet,0.002982794
2018/6/1,Xinjiang,0.024530435
2018/6/1,Yunnan,0.039978338
2018/7/1,Heilongjiang,0.015720196
2018/7/1,Jilin,0.015846332
2018/7/1,Liaoning,0.031940521
2018/7/1,Guangdong,0.044414186
2018/7/1,Guangxi,0.009301085
2018/7/1,Hainan,0.002195785
2018/7/1,Henan,0.022255871
2018/7/1,Hubei,0.018711924
2018/7/1,Hunan,0.016216388
2018/7/1,Anhui,0.038323189
2018/7/1,Beijing,0.037343759
2018/7/1,Fujian,0.043834341
2018/7/1,Hebei,0.037490668
2018/7/1,InnerMongolia,0.018130455
2018/7/1,Jiangsu,0.105019603
2018/7/1,Jiangxi,0.025514104
2018/7/1,Shandong,0.077178863
2018/7/1,Shanghai,0.040403457
2018/7/1,Shanxi,0.017732349
2018/7/1,Tianjin,0.015383842
2018/7/1,Zhejiang,0.065207017
2018/7/1,Chongqing,0.042940038
2018/7/1,Gansu,0.01622834
2018/7/1,Guizhou,0.029983408
2018/7/1,Ningxia,0.0068936
2018/7/1,Qinghai,0.00552611
2018/7/1,Shaanxi,0.047003279
2018/7/1,Sichuan,0.083986064
2018/7/1,Tibet,0.003034019
2018/7/1,Xinjiang,0.025068801
2018/7/1,Yunnan,0.041172409
2018/8/1,Heilongjiang,0.015699891
2018/8/1,Jilin,0.015825864
2018/8/1,Liaoning,0.031899265
2018/8/1,Guangdong,0.044480402
2018/8/1,Guangxi,0.009314951
2018/8/1,Hainan,0.002199058
