url,name,date
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202003/P020200324389133477825.pdf,2020年01月航空生产资料,Jan-20
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202002/P020200220582534315485.pdf,2019年12月航空生产资料,Dec-19
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202001/P020200120605263662901.pdf,2019年11月航空生产资料,Nov-19
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201912/P020191220567438734410.pdf,2019年10月航空生产资料,Oct-19
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201911/P020191120572647980099.pdf,2019年09月航空生产资料,Sep-19
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201910/P020191021569259079080.pdf,2019年08月航空生产资料,Aug-19
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201909/P020190920569359112784.pdf,2019年07月航空生产资料,Jul-19
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201908/P020190821316908657547.pdf,2019年06月航空生产资料,Jun-19
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201907/P020190719507174565649.pdf,2019年05月航空生产资料,May-19
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201906/P020190620373398596272.pdf,2019年04月航空生产资料,Apr-19
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201905/P020190520390751247025.pdf,2019年03月航空生产资料,Mar-19
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201904/P020190419543939469347.pdf,2019年02月航空生产资料,Feb-19
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201903/P020190320336422688214.pdf,2019年01月航空生产资料,Jan-19
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201902/P020190220510480624218.pdf,2018年12月航空生产资料,Dec-18
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201901/P020190121350381956797.pdf,2018年11月航空生产资料,Nov-18
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201812/P020181220515077077230.pdf,2018年10月航空生产资料,Oct-18
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201811/P020181120334929457888.pdf,2018年09月航空生产资料,Sep-18
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201810/P020181022507285641119.pdf,2018年08月航空生产资料,Aug-18
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201809/P020180920375975445856.pdf,2018年07月航空生产资料,Jul-18
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201808/P020180820344121447685.pdf,2018年06月航空生产资料,Jun-18
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201807/P020180720394844593550.pdf,2018年05月航空生产资料,May-18
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201806/P020180620345406214187.pdf,2018年04月航空生产资料,Apr-18
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201805/P020180522306777866464.pdf,2018年03月航空生产资料,Mar-18
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201804/P020180420530041997544.pdf,2018年02月航空生产资料,Feb-18
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201803/P020180320567683896708.pdf,2018年01月航空生产资料,Jan-18
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201802/P020180222333280174673.pdf,2017年12月航空生产资料,Dec-17
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201801/P020180119450414091902.pdf,2017年11月航空生产资料,Nov-17
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201712/P020171220557029665796.pdf,2017年10月航空生产资料,Oct-17
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201711/P020171120328592952631.pdf,2017年09月航空生产资料,Sep-17
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201710/P020171020302036793209.pdf,2017年08月航空生产资料,Aug-17
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201709/P020170920425214729354.pdf,2017年07月航空生产资料,Jul-17
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201708/P020170821330916187824.pdf,2017年06月航空生产资料,Jun-17
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201707/P020170720576685272748.pdf,2017年05月航空生产资料,May-17
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201706/P020170620373231069735.pdf,2017年04月航空生产资料,Apr-17
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201705/P020170519604058210393.pdf,2017年03月航空生产资料,Mar-17
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201704/P020170421321850449201.pdf,2017年02月航空生产资料,Feb-17
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201703/P020170320355493289794.pdf,2017年01月航空生产资料,Jan-17
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201702/P020170220499600910678.pdf,2016年12月航空生产资料,Dec-16
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201701/P020170120429571171506.pdf,2016年11月航空生产资料,Nov-16
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201612/P020161223363902978593.pdf,2016年10月航空生产资料,Oct-16
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201611/P020161122387401724602.pdf,2016年09月航空生产资料,Sep-16
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201610/P020161020336262813149.pdf,2016年08月航空生产资料,Aug-16
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201609/P020160920365608824975.pdf,2016年07月航空生产资料,Jul-16
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201608/P020160822323590499123.pdf,2016年06月航空生产资料,Jun-16
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201607/P020160721351396626301.pdf,2016年05月航空生产资料,May-16
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201606/P020160620312624540912.pdf,2016年04月航空生产资料,Apr-16
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201605/P020160520663632826207.pdf,2016年03月航空生产资料,Mar-16
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201604/P020160420367908531271.pdf,2016年02月航空生产资料,Feb-16
http://www.caac.gov.cn/XXGK/XXGK/TJSJ/201603/P020160322393286455499.pdf,2016年01月航空生产资料,Jan-16
