date,unit,地区,zhibiao
2021年3月,万人次,东北地区,622.7
2021年3月,万人次,中部地区,1215.5
2021年3月,万人次,东部地区,4908.9
2021年3月,万人次,西部地区,3103.1
2021年4月,万人次,东北地区,667.3
2021年4月,万人次,中部地区,1285
2021年4月,万人次,东部地区,5379
2021年4月,万人次,西部地区,3193.4
2021年5月,万人次,东北地区,623.4
2021年5月,万人次,中部地区,1267.8
2021年5月,万人次,东部地区,5274.6
2021年5月,万人次,西部地区,3342.6
2021年6月,万人次,东北地区,560
2021年6月,万人次,中部地区,1104.6
2021年6月,万人次,东部地区,3823.1
2021年6月,万人次,西部地区,3028.4
2021年7月,万人次,东北地区,691.6
2021年7月,万人次,中部地区,1305.6
2021年7月,万人次,东部地区,4650.1
2021年7月,万人次,西部地区,3491.2
2021年8月,万人次,东北地区,297.4
2021年8月,万人次,中部地区,469.1
2021年8月,万人次,东部地区,2207
2021年8月,万人次,西部地区,1658
2021年9月,万人次,东北地区,500.7
2021年9月,万人次,中部地区,918.6
2021年9月,万人次,东部地区,3519.6
2021年9月,万人次,西部地区,2485.5
2021年10月,万人次,东北地区,445.9
2021年10月,万人次,中部地区,1008.1
2021年10月,万人次,东部地区,4002.8
2021年10月,万人次,西部地区,2521.2
2021年11月,万人次,东北地区,209.5
2021年11月,万人次,中部地区,534.5
2021年11月,万人次,东部地区,2441.7
2021年11月,万人次,西部地区,1235.2
2021年12月,万人次,东北地区,321.5
2021年12月,万人次,中部地区,730.3
2021年12月,万人次,东部地区,2762.5
2021年12月,万人次,西部地区,1776.1
2022年1月,万人次,东北地区,425.9
2022年1月,万人次,中部地区,734.4
2022年1月,万人次,东部地区,2963.9
2022年1月,万人次,西部地区,1981.2
2022年2月,万人次,东北地区,474.6
2022年2月,万人次,中部地区,820.2
2022年2月,万人次,东部地区,3081.5
2022年2月,万人次,西部地区,2095.1
2022年3月,万人次,东北地区,145.8
2022年3月,万人次,中部地区,376
2022年3月,万人次,东部地区,1442.2
2022年3月,万人次,西部地区,1207.4
2022年4月,万人次,东北地区,54.6
2022年4月,万人次,中部地区,156.4
2022年4月,万人次,东部地区,703.2
2022年4月,万人次,西部地区,710.8
2022年5月,万人次,东北地区,157.5
2022年5月,万人次,中部地区,267
2022年5月,万人次,东部地区,1089.2
2022年5月,万人次,西部地区,987.5
2022年6月,万人次,东北地区,300.3
2022年6月,万人次,中部地区,584.3
2022年6月,万人次,东部地区,1995.2
2022年6月,万人次,西部地区,1676
